,Gewassen,Perioden,Region,yield_tha
0,Tarwe (totaal),1994,Flevoland (PV),8.6
1,Tarwe (totaal),1995,Flevoland (PV),9.1
2,Tarwe (totaal),1996,Flevoland (PV),9.3
3,Tarwe (totaal),1997,Flevoland (PV),8.0
4,Tarwe (totaal),1998,Flevoland (PV),7.1
5,Tarwe (totaal),1999,Flevoland (PV),9.1
6,Tarwe (totaal),2000,Flevoland (PV),8.9
7,Tarwe (totaal),2001,Flevoland (PV),8.6
8,Tarwe (totaal),2002,Flevoland (PV),6.9
9,Tarwe (totaal),2003,Flevoland (PV),9.6
10,Tarwe (totaal),2004,Flevoland (PV),9.2
11,Tarwe (totaal),2005,Flevoland (PV),8.9
12,Tarwe (totaal),2006,Flevoland (PV),9.0
13,Tarwe (totaal),2007,Flevoland (PV),8.2
14,Tarwe (totaal),2008,Flevoland (PV),9.1
15,Tarwe (totaal),2009,Flevoland (PV),9.9
16,Tarwe (totaal),2010,Flevoland (PV),9.6
17,Tarwe (totaal),2011,Flevoland (PV),8.8
18,Tarwe (totaal),2012,Flevoland (PV),9.5
19,Tarwe (totaal),2013,Flevoland (PV),9.7
20,Tarwe (totaal),2014,Flevoland (PV),9.4
21,Tarwe (totaal),2015,Flevoland (PV),9.5
22,Tarwe (totaal),2016,Flevoland (PV),8.6
23,Tarwe (totaal),2017,Flevoland (PV),9.9
24,Tarwe (totaal),2018,Flevoland (PV),9.5
25,Tarwe (totaal),2019,Flevoland (PV),10.3
