,Gewassen,Perioden,Regio's,yield_tha
0,Tarwe (totaal),1994,Groningen (PV),7.2
1,Tarwe (totaal),1995,Groningen (PV),8.2
2,Tarwe (totaal),1996,Groningen (PV),8.3
3,Tarwe (totaal),1997,Groningen (PV),8.0
4,Tarwe (totaal),1998,Groningen (PV),7.0
5,Tarwe (totaal),1999,Groningen (PV),7.7
6,Tarwe (totaal),2000,Groningen (PV),8.1
7,Tarwe (totaal),2001,Groningen (PV),8.5
8,Tarwe (totaal),2002,Groningen (PV),7.5
9,Tarwe (totaal),2003,Groningen (PV),8.5
10,Tarwe (totaal),2004,Groningen (PV),8.6
11,Tarwe (totaal),2005,Groningen (PV),8.3
12,Tarwe (totaal),2006,Groningen (PV),8.2
13,Tarwe (totaal),2007,Groningen (PV),7.3
14,Tarwe (totaal),2008,Groningen (PV),8.8
15,Tarwe (totaal),2009,Groningen (PV),9.3
16,Tarwe (totaal),2010,Groningen (PV),8.9
17,Tarwe (totaal),2011,Groningen (PV),7.9
18,Tarwe (totaal),2012,Groningen (PV),8.7
19,Tarwe (totaal),2013,Groningen (PV),8.5
20,Tarwe (totaal),2014,Groningen (PV),9.4
21,Tarwe (totaal),2015,Groningen (PV),8.9
22,Tarwe (totaal),2016,Groningen (PV),8.1
23,Tarwe (totaal),2017,Groningen (PV),9.0
24,Tarwe (totaal),2018,Groningen (PV),8.7
25,Tarwe (totaal),2019,Groningen (PV),9.1
